City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,82.38,81,40,11.5,US,1659244472
1,busselton,-33.65,115.3333,57.16,69,71,11.86,AU,1659244486
2,bengkulu,-3.8004,102.2655,84.67,64,99,5.39,ID,1659244188
3,along,28.1667,94.7667,77.67,96,98,2.44,IN,1659244913
4,ponta do sol,32.6667,-17.1,70.72,82,12,5.26,PT,1659244913
5,ushuaia,-54.8,-68.3,40.66,81,20,21.85,AR,1659244914
6,mataura,-46.1927,168.8643,48.47,93,99,6.33,NZ,1659244470
7,victoria,22.2855,114.1577,94.96,66,15,5.99,HK,1659244483
8,albany,42.6001,-73.9662,64.92,87,0,4.16,US,1659244479
9,parainen,60.3067,22.301,63.14,75,83,10.85,FI,1659244915
10,cidreira,-30.1811,-50.2056,53.76,83,1,7.25,BR,1659244595
11,montecristo,8.2971,-74.4733,73.62,98,97,2.48,CO,1659244915
12,lerwick,60.1545,-1.1494,53.6,85,73,12.19,GB,1659244916
13,pemangkat,1.1667,108.9667,82.04,70,100,5.53,ID,1659244916
14,tombouctou,20.0,-3.0,91.58,33,80,8.9,ML,1659244916
15,jacareacanga,-6.2222,-57.7528,78.33,58,92,3.42,BR,1659244549
16,leningradskiy,69.3833,178.4167,49.28,67,62,12.48,RU,1659244514
17,longonjo,-12.9067,15.2533,54.03,81,0,1.01,AO,1659244917
18,cape town,-33.9258,18.4232,47.12,92,25,6.02,ZA,1659244209
19,coihaique,-45.5752,-72.0662,30.15,93,20,4.61,CL,1659244533
20,zhigansk,66.7697,123.3711,76.3,51,66,16.87,RU,1659244918
21,correntina,-13.3433,-44.6367,66.09,37,0,1.95,BR,1659244919
22,ituporanga,-27.4144,-49.6025,45.14,97,2,1.19,BR,1659244920
23,kaitangata,-46.2817,169.8464,43.43,86,96,11.56,NZ,1659244476
24,rikitea,-23.1203,-134.9692,72.9,74,12,16.42,PF,1659244467
25,severo-kurilsk,50.6789,156.125,56.1,85,27,10.02,RU,1659244577
26,laguna,38.421,-121.4238,79.45,70,0,12.66,US,1659244422
27,byron bay,-28.65,153.6167,63.95,58,99,8.59,AU,1659244921
28,rocha,-34.4833,-54.3333,47.23,85,100,3.6,UY,1659244606
29,dikson,73.5069,80.5464,41.11,92,82,11.25,RU,1659244451
30,port lincoln,-34.7333,135.8667,55.6,67,59,24.49,AU,1659244511
31,guerrero negro,27.9769,-114.0611,70.54,77,5,10.8,MX,1659244922
32,oussouye,12.485,-16.5469,80.69,88,100,9.37,SN,1659244922
33,longyearbyen,78.2186,15.6401,46.24,93,75,4.61,SJ,1659244569
34,alice springs,-23.7,133.8833,74.75,17,100,8.05,AU,1659244311
35,punta arenas,-53.15,-70.9167,42.91,61,0,5.75,CL,1659244240
36,grande prairie,55.1667,-118.8027,64.58,82,75,5.75,CA,1659244923
